SalesOrderDetailID;OrderDate;ProductID;CustomerID;OrderQty
1;05-07-2013;776;1045;1
2;05-07-2013;777;1045;3
3;05-07-2013;778;1045;1
4;05-07-2013;771;1045;1
5;05-07-2013;772;1045;1
6;05-07-2013;773;1045;2
7;05-07-2013;774;1045;1
8;05-07-2013;714;1045;3
9;05-07-2013;716;1045;1
10;05-07-2013;709;1045;6
11;05-07-2013;712;1045;2
12;05-07-2013;711;1045;4
13;05-07-2013;762;721;1
14;05-07-2013;758;721;1
15;05-07-2013;745;851;1
16;05-07-2013;743;851;1
17;05-07-2013;747;851;2
18;05-07-2013;712;851;4
19;05-07-2013;715;851;4
20;05-07-2013;742;851;2
21;05-07-2013;775;851;3
22;05-07-2013;778;851;2
23;05-07-2013;711;851;2
24;05-07-2013;741;851;2
25;05-07-2013;776;851;4
26;05-07-2013;773;851;2
27;05-07-2013;716;851;2
28;05-07-2013;777;851;2
29;05-07-2013;708;851;5
30;05-07-2013;764;1417;3
31;05-07-2013;770;1417;5
32;05-07-2013;730;1417;2
33;05-07-2013;754;1417;4
34;05-07-2013;725;1417;3
35;05-07-2013;762;1417;5
36;05-07-2013;765;1417;3
37;05-07-2013;768;1417;2
38;05-07-2013;753;1417;1
39;05-07-2013;756;1417;1
40;05-07-2013;763;1417;3
41;05-07-2013;732;1417;1
42;05-07-2013;758;1417;6
43;05-07-2013;729;1417;1
44;05-07-2013;722;1417;3
45;05-07-2013;749;1417;1
46;05-07-2013;760;1417;3
47;05-07-2013;726;1417;1
48;05-07-2013;733;1417;1
49;05-07-2013;738;1417;1
50;05-07-2013;766;1417;3
51;05-07-2013;755;1417;1
52;05-07-2013;760;483;1
53;05-07-2013;772;1205;1
54;05-07-2013;775;1205;4
55;05-07-2013;714;1205;1
56;05-07-2013;716;1205;1
57;05-07-2013;777;1205;2
58;05-07-2013;771;1205;3
59;05-07-2013;773;1205;1
60;05-07-2013;778;1205;1
61;05-07-2013;711;517;2
62;05-07-2013;773;517;1
63;05-07-2013;707;517;1
64;05-07-2013;715;517;2
65;05-07-2013;777;517;2
66;05-07-2013;712;517;2
67;05-07-2013;775;517;2
68;05-07-2013;778;517;1
69;05-07-2013;709;517;6
70;05-07-2013;776;517;1
71;05-07-2013;764;1849;1
72;05-07-2013;753;1849;1
73;05-07-2013;732;1849;1
74;05-07-2013;756;1849;1
75;05-07-2013;768;1849;2
76;05-07-2013;766;1849;1
77;05-07-2013;710;1373;3
78;05-07-2013;773;1373;1
79;05-07-2013;778;1373;1
80;05-07-2013;775;1373;1
81;05-07-2013;756;591;3
82;05-07-2013;753;591;2
83;05-07-2013;760;591;7
84;05-07-2013;765;591;6
85;05-07-2013;715;591;6
86;05-07-2013;730;591;6
87;05-07-2013;707;591;2
88;05-07-2013;711;591;2
89;05-07-2013;754;591;2
90;05-07-2013;712;591;4
91;05-07-2013;729;591;2
92;05-07-2013;755;591;3
93;05-07-2013;761;591;3
94;05-07-2013;770;591;2
95;05-07-2013;726;591;3
96;05-07-2013;764;591;2
97;05-07-2013;766;591;2
98;05-07-2013;725;591;2
99;05-07-2013;716;591;1
100;05-07-2013;768;591;2
101;05-07-2013;732;591;4
102;05-07-2013;758;591;6
103;05-07-2013;762;591;4
104;05-07-2013;738;591;3
105;05-07-2013;714;591;4
106;05-07-2013;722;591;3
107;05-07-2013;708;591;1
108;05-07-2013;733;591;3
109;05-07-2013;763;591;3
110;05-07-2013;747;879;1
111;05-07-2013;710;487;1
112;05-07-2013;709;487;2
113;05-07-2013;773;487;2
114;05-07-2013;776;487;1
115;05-07-2013;753;1185;1
116;05-07-2013;714;1185;2
117;05-07-2013;756;1185;1
118;05-07-2013;768;1185;2
119;05-07-2013;732;1185;2
120;05-07-2013;763;1185;2
